date,deaths_new,deaths_bid,deaths_new_dod,deaths_bid_dod,deaths_unvax,deaths_pvax,deaths_fvax,deaths_boost,deaths_tat,daily_partial,daily_full,daily_booster,daily_booster2,daily,daily_partial_adol,daily_full_adol,daily_booster_adol,daily_booster2_adol,daily_partial_child,daily_full_child,daily_booster_child,daily_booster2_child,cumul_partial,cumul_full,cumul_booster,cumul_booster2,cumul,cumul_partial_adol,cumul_full_adol,cumul_booster_adol,cumul_booster2_adol,cumul_partial_child,cumul_full_child,cumul_booster_child,cumul_booster2_child,pfizer1,pfizer2,pfizer3,pfizer4,sinovac1,sinovac2,sinovac3,sinovac4,astra1,astra2,astra3,astra4,sinopharm1,sinopharm2,sinopharm3,sinopharm4,cansino,cansino3,cansino4,pending1,pending2,pending3,pending4,cases_new,cases_import,cases_recovered,cases_active,cases_cluster,cases_unvax,cases_pvax,cases_fvax,cases_boost,cases_child,cases_adolescent,cases_adult,cases_elderly,cases_0_4,cases_5_11,cases_12_17,cases_18_29,cases_30_39,cases_40_49,cases_50_59,cases_60_69,cases_70_79,cases_80,cluster_import,cluster_religious,cluster_community,cluster_highRisk,cluster_education,cluster_detentionCentre,cluster_workplace
12/1/2022,15,6,19,1,5,0,13,1,2,2100,3471,255520,252,261343,786,1418,239,0,12,7,7,0,26063367,25702628,8589582,19322,60172153,2719663,2643666,3123,15,17548,12564,160,0,1698,2685,195419,186,353,497,12310,25,22,19,47667,39,27,76,33,0,190,84,2,0,4,7,0,3198,303,3200,39902,164,707,27,2098,366,492,168,2151,368,171,321,168,769,690,399,293,241,96,31,,,,,,,
11/9/2021,592,88,213,49,124,50,39,0,25,96680,190306,46,0,287032,20507,680,0,0,23,34,0,0,21954257,17558727,86,0,39435303,124594,30857,0,0,1409,823,0,0,76610,75912,44,0,18708,87847,2,0,1353,18925,0,0,0,0,0,0,7588,0,0,9,34,0,0,19550,7,21771,239354,2144,8186,4064,7300,0,3009,1650,12772,1797,1171,1838,1650,4695,3888,2554,1635,1150,463,184,,,,,,,
1/9/2021,278,65,268,61,164,55,49,0,3,202131,229614,4,0,431749,1942,666,0,0,23,28,0,0,20465634,15569929,4,0,36007815,52866,24053,0,0,1142,559,0,0,157288,107017,1,0,32097,98254,2,0,12348,21553,0,0,0,0,0,0,2750,0,0,398,40,1,0,18762,5,21073,265279,2107,8298,4977,5487,0,2764,1491,12434,1658,1084,1680,1491,4651,3759,2375,1649,1044,451,163,,,,,,,
11/10/2021,93,16,81,17,31,8,42,0,4,54234,142519,42,0,196795,40201,51175,0,0,160,376,0,0,25209338,22189557,1316,0,47242241,2287021,300100,0,0,14007,2895,0,0,50913,89381,40,0,3032,12012,2,0,87,39131,0,0,201,104,0,0,1862,0,0,1,29,0,0,6709,6,10833,112382,282,1952,669,4087,1,1180,493,4087,912,467,713,493,1314,1273,839,661,523,284,105,,,,,,,
5/8/2021,164,22,313,64,205,90,18,0,3,236184,303187,0,0,539371,715,523,0,0,22,4,0,0,15496827,8180050,0,0,23676850,25626,7793,0,0,482,189,0,0,165051,99304,0,0,66711,190154,0,0,4313,13706,0,0,0,0,0,0,1,0,0,109,22,0,0,20596,34,13893,217063,3084,12260,6610,1726,0,2601,1388,14699,1350,1070,1531,1388,5690,4401,2829,1779,905,344,101,,,,,,,
10/9/2021,341,102,214,48,131,42,41,0,9,120055,198203,4,0,318262,19449,811,0,0,19,18,0,0,21849989,17368421,40,0,39148271,104049,30177,0,0,1382,789,0,0,97160,68925,2,0,19566,100614,2,0,3153,22285,0,0,0,0,0,0,6353,0,0,176,26,0,0,21176,4,21476,242167,2162,8436,4775,7965,0,3345,1814,13607,1986,1362,1983,1814,4997,4141,2640,1829,1197,581,208,,,,,,,
22/12/2021,30,7,19,4,7,0,10,2,2,3311,5041,173522,259,182133,1370,1956,33,0,11,4,4,0,26010521,25626779,5098360,13040,56549674,2698262,2614744,977,4,17281,12439,58,0,2704,3887,149424,201,528,740,20742,50,5,30,3254,7,74,100,47,0,283,26,0,0,1,29,1,3519,100,5118,49397,79,819,28,2503,169,515,163,2369,444,212,303,163,802,774,442,351,265,149,30,,,,,,,
9/1/2022,23,4,17,6,6,1,8,2,3,985,1670,110114,285,113054,328,523,115,0,31,5,4,0,26056349,25692319,7858792,18341,59423545,2717124,2639511,2545,13,17480,12547,130,0,685,1128,79059,236,266,239,7328,21,19,10,23684,28,15,39,23,0,254,1,0,0,0,19,0,2888,323,2714,39933,52,557,15,1970,346,430,160,1945,343,155,275,160,647,609,378,311,241,84,18,,,,,,,
21/11/2021,24,6,46,12,17,1,28,0,3,2762,5318,31150,72,39302,995,2262,9,0,15,32,0,0,25881344,25429514,1585594,5831,52711498,2654267,2546864,311,3,16705,11918,4,0,1821,3556,29627,62,624,1364,1467,10,210,186,12,0,93,145,42,0,66,1,0,14,1,1,0,4854,12,5525,68793,114,1143,53,3569,89,779,189,3260,604,314,465,189,1063,1065,621,511,378,158,68,,,,,,,
21/8/2021,223,35,248,60,155,64,29,0,4,175777,326315,0,0,502092,886,795,0,0,35,28,0,0,18596977,12986184,0,0,31583093,38752,17953,0,0,874,374,0,0,76756,158128,0,0,89247,148050,0,0,9766,20067,0,0,0,0,0,0,10,0,0,8,60,0,0,22262,40,18576,260884,2331,11436,6900,3926,0,3154,1685,14933,1714,1269,1885,1685,5866,4397,2816,1854,1078,470,166,,,,,,,
19/12/2021,19,4,34,5,13,1,20,0,2,1346,2278,77609,205,81438,466,646,23,0,4,2,3,0,25999831,25612165,4618958,11852,56044455,2694242,2609249,879,4,17250,12420,46,0,1091,1586,63018,154,241,325,12004,35,4,28,2543,14,10,41,39,0,296,1,0,0,2,4,2,3108,37,3701,53484,88,688,22,2255,143,451,105,2152,390,182,269,105,746,696,437,273,249,119,22,,,,,,,
5/1/2022,18,3,27,3,10,1,14,2,2,2848,4362,243490,250,250950,1417,1724,182,1,14,5,5,0,26047476,25680741,7157637,16963,58701367,2713496,2635550,1931,13,17385,12513,118,0,2407,3304,206799,187,382,669,11921,40,10,47,24699,23,49,69,45,0,271,16,0,0,2,10,0,3270,252,3195,39745,61,705,16,2237,312,457,158,2197,445,174,283,158,723,726,404,344,273,137,35,,,,,,,
16/7/2021,115,24,214,41,153,58,3,0,3,284002,134328,0,0,418330,728,156,0,0,4,1,0,0,9544952,4404187,0,0,13949124,10461,2526,0,0,204,126,0,0,95937,32111,0,0,165270,102129,0,0,22620,65,0,0,0,0,0,0,1,0,0,175,22,0,0,12541,16,6742,114054,2785,10133,1869,539,0,1467,715,9043,801,627,840,715,3689,2757,1588,1009,559,187,55,,,,,,,
5/9/2021,336,107,249,51,132,65,52,0,7,146007,171237,3,0,317247,1837,544,0,0,22,36,0,0,21138957,16340276,22,0,37427291,60507,26616,0,0,1255,673,0,0,115790,42349,0,0,21399,102354,3,0,8795,19116,0,0,0,0,0,0,7095,0,0,23,323,0,0,20396,8,20573,255794,2347,8851,4669,6876,0,3037,1622,13561,1869,1222,1815,1622,5085,4101,2556,1819,1183,508,178,,,,,,,
11/12/2021,31,7,25,6,8,1,16,0,3,1467,2909,69814,59,74249,380,1232,18,0,5,6,3,0,25973689,25575939,3635053,10972,54999283,2685352,2597790,685,4,17126,12341,26,0,956,1944,51537,25,444,760,17612,33,8,36,539,0,58,59,88,1,110,0,0,1,0,38,0,4626,20,4690,60780,105,1103,39,3339,145,757,192,3113,553,269,488,192,1079,1002,618,414,340,154,59,,,,,,,
22/11/2021,63,13,41,12,17,0,24,0,3,5279,12549,95168,271,113267,1538,5638,15,0,31,72,0,0,25886657,25442063,1680762,6102,52824765,2655806,2552502,326,3,16736,11990,4,0,3955,9797,92540,263,998,2043,2492,8,141,397,38,0,184,278,94,0,34,0,0,1,0,4,0,4885,18,5628,67987,228,1165,48,3579,93,806,200,3205,661,306,500,200,1048,1021,620,516,385,200,76,,,,,,,
13/12/2021,29,8,31,3,15,0,16,0,3,4115,5586,124393,95,134189,1599,1904,41,0,19,15,3,0,25979672,25584085,3825193,11159,55203376,2687439,2600649,745,4,17152,12365,30,0,3421,4100,101972,69,613,985,20731,23,4,138,1578,2,76,153,104,0,210,0,0,1,0,8,1,3504,24,4401,57928,103,796,29,2569,110,551,154,2317,475,237,314,154,776,736,421,384,296,142,37,,,,,,,
26/10/2021,84,20,55,10,20,1,34,0,4,25204,142015,22782,4,190005,14839,112080,2,0,91,296,0,0,25666831,24400234,153435,11,50042016,2571880,1842114,5,0,15671,9513,0,0,22707,129659,22743,4,2206,6154,29,0,5,4905,6,0,257,131,0,0,1132,4,0,29,34,0,0,5726,15,5607,73261,210,1464,299,3955,8,996,263,3656,741,414,582,263,1198,1187,677,594,457,196,88,,,,,,,
22/10/2021,78,17,71,11,29,4,38,0,3,28114,120191,18889,0,167194,17069,89043,0,0,95,256,0,0,25590121,23898124,91294,3,49405010,2529354,1437632,1,0,15358,8222,0,0,25083,106762,18837,0,2720,4201,51,0,8,7032,1,0,288,125,0,0,2052,0,0,15,19,0,0,6630,15,7630,80700,250,1767,426,4431,6,1167,303,4252,851,476,691,303,1389,1377,829,657,522,238,91,,,,,,,
8/11/2021,58,8,53,7,26,3,24,0,3,6694,45993,60313,229,113229,2133,31885,11,0,44,111,0,0,25795660,25120218,665771,2537,51398417,2626026,2358326,166,0,16305,11245,1,0,5312,40961,59700,225,1215,3351,584,4,3,1060,1,0,160,299,18,0,308,0,0,4,14,10,0,4543,15,7348,61763,80,1139,89,3270,45,762,150,2924,667,312,450,150,936,971,565,452,428,185,54,,,,,,,
10/10/2021,64,14,83,18,39,3,41,0,2,33131,104426,5,0,137562,24218,30060,0,0,191,312,0,0,25153242,22047038,1274,0,47045446,2246809,248925,0,0,13846,2519,0,0,30769,59910,3,0,2183,10316,2,0,15,33314,0,0,162,28,0,0,837,0,0,2,21,0,0,7373,2,10959,116599,334,2125,773,4474,1,1346,542,4511,929,551,795,542,1546,1389,851,725,555,256,118,,,,,,,
27/9/2021,258,75,129,17,67,19,43,0,11,176245,162249,5,0,338499,142663,1641,0,0,452,23,0,0,23654989,20411983,231,0,43935499,1008615,49678,0,0,8499,1179,0,0,170105,115516,3,0,5712,22203,2,0,330,23445,0,0,95,0,0,0,1069,0,0,3,16,0,0,10959,12,16430,177564,797,3706,1529,5724,0,1761,947,6804,1356,744,1017,947,2405,2065,1340,994,830,348,178,,,,,,,
13/11/2021,55,11,44,9,15,1,28,0,4,3728,16707,39106,184,59725,1105,9926,17,1,19,97,2,0,25834968,25289619,1042803,3948,51983369,2638961,2469099,221,2,16504,11560,4,0,2402,13515,38083,172,1152,1815,980,11,2,789,0,0,171,190,42,1,392,0,0,1,6,1,0,5809,27,4712,65322,118,1408,94,4224,83,951,178,3839,810,378,573,178,1228,1237,788,586,525,215,70,,,,,,,
15/1/2022,19,6,16,2,7,2,6,1,3,1038,966,168234,368,170606,380,277,220,2,7,1,10,0,26068900,25709658,9259830,20408,60855619,2721731,2646270,3834,20,17595,12573,186,0,801,507,101976,322,208,207,8116,16,19,12,58121,30,10,16,19,0,224,2,0,0,0,0,0,3074,319,2828,40791,134,665,12,2042,355,437,186,2112,311,164,273,186,809,644,353,306,217,74,20,,,,,,,
4/8/2021,257,21,307,79,197,90,20,0,4,243097,273694,0,0,516791,731,494,0,0,15,5,0,0,15260642,7876863,0,0,23137479,24911,7270,0,0,460,185,0,0,179762,78808,0,0,58945,181114,0,0,4373,13683,0,0,0,0,0,0,1,0,0,17,88,0,0,19819,23,12704,210524,2953,12681,5585,1553,0,2737,1380,13795,1359,1142,1595,1380,5288,4312,2511,1684,941,296,122,,,,,,,
24/9/2021,250,49,146,34,74,25,47,0,3,123634,169048,2,0,292684,87771,1340,0,0,1099,18,0,0,23232071,19928462,214,0,43034300,679819,45004,0,0,6183,1084,0,0,116059,120279,1,0,7361,27688,1,0,77,19838,0,0,136,1,0,0,1227,0,0,1,15,0,0,14554,9,16751,195841,1079,5045,2268,7241,0,2334,1278,9269,1528,918,1416,1278,3260,2784,1884,1341,966,427,135,,,,,,,
29/10/2021,63,8,59,15,28,3,28,0,3,15612,84597,45784,288,146281,8073,65503,2,0,61,175,0,0,25725398,24734490,280657,897,50559597,2601421,2103995,15,0,15890,10168,0,0,13325,77409,45677,286,2002,4319,81,2,1,1932,1,0,279,196,19,0,711,1,0,5,30,5,0,6060,13,7297,70061,200,1548,262,4223,27,1071,263,3905,757,425,646,263,1311,1231,774,589,458,223,76,,,,,,,
29/7/2021,174,28,289,66,193,78,18,0,2,363346,218787,0,0,582133,881,210,0,0,23,3,0,0,13545351,6502983,0,0,20048313,20076,5115,0,0,345,170,0,0,213035,42109,0,0,136400,163511,0,0,13855,13119,0,0,0,0,0,0,4,0,0,56,44,0,0,17170,32,12930,179181,2423,11875,4188,1107,0,2383,1140,12206,1090,1025,1358,1140,4960,3556,2259,1431,743,261,86,,,,,,,
15/10/2021,89,19,76,16,31,4,41,0,3,37304,138513,10421,0,186238,25323,81635,0,0,198,764,0,0,25407106,22822406,17482,0,48081674,2421881,632621,0,0,14788,4925,0,0,34020,111136,10378,0,3048,8685,30,0,28,16604,13,0,201,127,0,0,1906,0,0,7,55,0,0,7420,17,10145,98776,416,2178,584,4658,0,1342,423,4664,944,553,789,423,1560,1588,849,667,566,286,92,,,,,,,
10/1/2022,18,2,12,2,5,0,7,0,2,2197,3495,222462,375,228529,823,1395,167,1,31,6,15,0,26058766,25695814,8081254,18716,59652074,2717947,2640906,2712,14,17511,12553,145,0,1733,2697,165581,200,415,478,12938,128,6,26,43841,47,43,72,57,0,220,15,0,0,2,30,0,2641,338,2808,39748,73,570,18,1755,298,419,160,1709,334,157,262,160,570,510,351,278,193,91,50,,,,,,,
25/10/2021,92,11,70,14,30,6,34,0,3,24083,146934,22346,2,193365,15008,118621,2,0,83,391,0,0,25640495,24258219,130653,7,49852011,2557033,1730034,3,0,15580,9217,0,0,21640,134989,22328,2,2151,4356,13,0,4,6111,5,0,279,126,0,0,1339,0,0,9,13,0,0,4782,15,7414,73226,109,1326,257,3190,9,928,227,2944,651,370,558,227,957,946,574,467,407,195,49,,,,,,,
